[2026-04-16T04:28:47.191Z] GET http://localhost:5173/src/icons/news.svg?import → 200 (60ms, 351B)
[2026-04-16T04:28:47.191Z] GET http://localhost:5173/src/icons/ai.svg?import → 200 (60ms, 345B)
[2026-04-16T04:28:47.191Z] GET http://localhost:5173/src/icons/app.svg?import → 200 (60ms, 346B)
[2026-04-16T04:28:47.235Z] GET http://localhost:5173/node_modules/.vite/deps/antd.js?v=1b9989ba → 200 (587ms, ?B)
[2026-04-16T04:28:47.236Z] GET http://localhost:5173/src/components/ToolsPage.module.scss → 200 (102ms, 16361B)
[2026-04-16T04:28:47.236Z] GET http://localhost:5173/node_modules/.vite/deps/dayjs.js?v=1b9989ba → 200 (101ms, 227B)
[2026-04-16T04:28:47.236Z] GET http://localhost:5173/src/components/ApplicationPage.module.scss → 200 (102ms, 48991B)
[2026-04-16T04:28:47.251Z] GET http://localhost:5173/node_modules/.vite/deps/axios.js?v=1b9989ba → 200 (88ms, 84021B)
[2026-04-16T04:28:47.251Z] GET http://localhost:5173/node_modules/.vite/deps/@ant-design_icons.js?v=1b9989ba → 200 (570ms, 1268911B)
[2026-04-16T04:28:47.252Z] GET http://localhost:5173/src/components/UserSettingsPage.module.scss → 200 (218ms, 21859B)
[2026-04-16T04:28:47.252Z] GET http://localhost:5173/src/components/MessagePage.module.scss → 200 (217ms, 60071B)
[2026-04-16T04:28:47.279Z] GET http://localhost:5173/src/components/NewsPage.module.scss → 200 (303ms, 54581B)
[2026-04-16T04:28:47.822Z] GET http://localhost:5173/node_modules/.vite/deps/chunk-QZC7O2C6.js?v=1b9989ba → 200 (2ms, ?B)
[2026-04-16T04:28:47.823Z] GET http://localhost:5173/node_modules/.vite/deps/chunk-ZDBJOGHJ.js?v=1b9989ba → 200 (9ms, ?B)
[2026-04-16T04:28:48.483Z] GET http://localhost:5173/fonts/material-symbols-outlined.woff2 → 200 (161ms, 3363900B)
[2026-04-16T04:29:00.055Z] GET http://localhost:5173/login → 200 (5ms, 798B)
[2026-04-16T04:29:00.066Z] GET http://localhost:5173/@vite/client → 200 (7ms, 137703B)
[2026-04-16T04:29:00.070Z] GET http://localhost:5173/fonts/material-symbols-outlined.woff2 → pending (?ms, ?B)
[2026-04-16T04:29:00.070Z] GET http://localhost:5173/src/main.tsx → 200 (3ms, 2156B)
[2026-04-16T04:29:00.073Z] GET http://localhost:5173/@react-refresh → 200 (2ms, ?B)
[2026-04-16T04:29:00.073Z] GET http://localhost:5173/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=1b9989ba → 200 (?ms, 37035B)
[2026-04-16T04:29:00.073Z] GET http://localhost:5173/node_modules/.vite/deps/react.js?v=1b9989ba → 200 (?ms, 219B)
[2026-04-16T04:29:00.074Z] GET http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=1b9989ba → 200 (?ms, 1118B)
[2026-04-16T04:29:00.074Z] GET http://localhost:5173/src/App.tsx → 200 (4ms, ?B)
[2026-04-16T04:29:00.074Z] GET http://localhost:5173/src/index.css → 200 (2ms, ?B)
[2026-04-16T04:29:00.074Z] GET http://localhost:5173/node_modules/vite/dist/client/env.mjs → 200 (4ms, ?B)
[2026-04-16T04:29:00.074Z] GET http://localhost:5173/node_modules/.vite/deps/chunk-DRWLMN53.js?v=1b9989ba → 200 (?ms, 77818B)
[2026-04-16T04:29:00.074Z] GET http://localhost:5173/node_modules/.vite/deps/chunk-G3PMV62Z.js?v=1b9989ba → 200 (?ms, 1540B)
[2026-04-16T04:29:00.074Z] GET http://localhost:5173/node_modules/.vite/deps/chunk-PJEEZAML.js?v=1b9989ba → 200 (?ms, ?B)
[2026-04-16T04:29:00.080Z] GET http://localhost:5173/src/components/Login.tsx → pending (?ms, ?B)
[2026-04-16T04:29:00.081Z] GET http://localhost:5173/src/components/TopNavbar.tsx → pending (?ms, ?B)
[2026-04-16T04:29:00.081Z] GET http://localhost:5173/src/components/EventsPage.tsx → pending (?ms, ?B)
[2026-04-16T04:29:00.081Z] GET http://localhost:5173/src/components/EventmanagePage.tsx → pending (?ms, ?B)
[2026-04-16T04:29:00.082Z] GET http://localhost:5173/src/components/EventChainPage.tsx → pending (?ms, ?B)
[2026-04-16T04:29:00.082Z] GET http://localhost:5173/src/components/TaskDetailPage.tsx → pending (?ms, ?B)
[2026-04-16T04:29:00.082Z] GET http://localhost:5173/src/components/TaskExecutionPage.tsx → pending (?ms, ?B)
[2026-04-16T04:29:00.082Z] GET http://localhost:5173/src/components/TaskReviewPage.tsx → pending (?ms, ?B)
[2026-04-16T04:29:00.082Z] GET http://localhost:5173/src/components/TaskListPage.tsx → pending (?ms, ?B)
[2026-04-16T04:29:00.082Z] GET http://localhost:5173/src/components/DataListPage.tsx → pending (?ms, ?B)
[2026-04-16T04:29:00.082Z] GET http://localhost:5173/src/components/DataPage.tsx → pending (?ms, ?B)
[2026-04-16T04:29:00.082Z] GET http://localhost:5173/src/components/DataChainPage.tsx → pending (?ms, ?B)
[2026-04-16T04:29:00.082Z] GET http://localhost:5173/src/components/DataChainDetailPage.tsx → pending (?ms, ?B)
[2026-04-16T04:29:00.082Z] GET http://localhost:5173/src/components/DataReviewPage.tsx → pending (?ms, ?B)
[2026-04-16T04:29:00.082Z] GET http://localhost:5173/src/components/EventDataDetailPage.tsx → pending (?ms, ?B)
[2026-04-16T04:29:00.082Z] GET http://localhost:5173/src/components/HomePage.tsx → pending (?ms, ?B)
[2026-04-16T04:29:00.082Z] GET http://localhost:5173/src/components/AdminPage.tsx → pending (?ms, ?B)
[2026-04-16T04:29:00.082Z] GET http://localhost:5173/src/components/ProfilePage.tsx → pending (?ms, ?B)
[2026-04-16T04:29:00.082Z] GET http://localhost:5173/src/components/VisualizationPage.tsx → pending (?ms, ?B)
[2026-04-16T04:29:00.093Z] GET http://localhost:5173/src/components/ToolsPage.tsx → pending (?ms, ?B)
[2026-04-16T04:29:00.093Z] GET http://localhost:5173/src/components/ApplicationPage.tsx → pending (?ms, ?B)
[2026-04-16T04:29:00.093Z] GET http://localhost:5173/src/components/PurchaseRequestPage.tsx → pending (?ms, ?B)
[2026-04-16T04:29:00.093Z] GET http://localhost:5173/src/components/BasicSettingsPage.tsx → pending (?ms, ?B)
